,date,link,location,movie,time
40,2019-03-27,http://www.americancinemathequecalendar.com/content/the-highwaymen-0,EGYPTIAN Theater,THE HIGHWAYMEN,7:30pm
41,2019-03-27,http://www.americancinemathequecalendar.com/content/city-hall-0,AERO Theater,CITY HALL,7:30pm
42,2019-03-28,http://www.americancinemathequecalendar.com/content/senso-sandra,AERO Theater,SENSO / SANDRA,7:30pm
43,2019-03-29,http://www.americancinemathequecalendar.com/content/the-leopard-3,AERO Theater,THE LEOPARD,7:30pm
44,2019-03-29,http://www.americancinemathequecalendar.com/content/trapped-the-file-on-thelma-jordon,EGYPTIAN Theater,TRAPPED / THE FILE ON THELMA JORDON,7:30pm
45,2019-03-30,http://www.americancinemathequecalendar.com/content/rocco-and-his-brothers-1,AERO Theater,ROCCO AND HIS BROTHERS,7:30pm
46,2019-03-30,http://www.americancinemathequecalendar.com/content/appointment-with-danger-shadow-on-the-wall,EGYPTIAN Theater,APPOINTMENT WITH DANGER / SHADOW ON THE WALL,7:30pm
47,2019-03-31,http://www.americancinemathequecalendar.com/content/sudden-fear-the-narrow-margin,EGYPTIAN Theater,SUDDEN FEAR / THE NARROW MARGIN,7:30pm
48,2019-03-31,http://www.americancinemathequecalendar.com/content/the-damned-0,AERO Theater,THE DAMNED,7:30pm
49,2019-04-01,http://www.americancinemathequecalendar.com/content/city-that-never-sleeps-99-river-street,EGYPTIAN Theater,CITY THAT NEVER SLEEPS / 99 RIVER STREET,7:30pm
50,2019-04-02,http://www.americancinemathequecalendar.com/content/playgirl-hell%E2%80%99s-half-acre,EGYPTIAN Theater,PLAYGIRL / HELL’S HALF ACRE,7:30pm
51,2019-04-03,http://www.americancinemathequecalendar.com/content/the-big-combo-bad-day-at-black-rock,EGYPTIAN Theater,THE BIG COMBO / BAD DAY AT BLACK ROCK,7:30pm
52,2019-04-04,http://www.americancinemathequecalendar.com/content/a-kiss-before-dying-the-harder-they-fall,EGYPTIAN Theater,A KISS BEFORE DYING / THE HARDER THEY FALL,7:30pm
53,2019-04-05,http://www.americancinemathequecalendar.com/content/the-midnight-story-monkey-on-my-back,EGYPTIAN Theater,THE MIDNIGHT STORY / MONKEY ON MY BACK,7:30pm
54,2019-04-06,http://www.americancinemathequecalendar.com/content/touch-of-evil-elevator-to-the-gallows,EGYPTIAN Theater,TOUCH OF EVIL / ELEVATOR TO THE GALLOWS,7:30pm
55,2019-04-07,http://www.americancinemathequecalendar.com/content/i-want-to-live-cry-tough,EGYPTIAN Theater,I WANT TO LIVE! / CRY TOUGH,7:30pm
0,2019-03-01,https://www.cinema.ucla.edu/events/2019/03/01/diary-of-chujis-travels,Billy Wilder Theater,A Diary of Chuji's Travels + Shorts,7:30 pm
1,2019-03-02,https://www.cinema.ucla.edu/events/2019/03/02/dragnet-girl,Billy Wilder Theater,Dragnet Girl + Shorts,7:30 pm
2,2019-03-03,https://www.cinema.ucla.edu/events/2018/03/03/silence,Billy Wilder Theater,Silence + Shorts,3:00 pm
3,2019-03-03,https://www.cinema.ucla.edu/events/2019/03/03/the-cheat,Billy Wilder Theater,The Cheat + Shorts,7:00 pm
