,date,movie,location,time,link
0,2018-05-02,WILDE SALOMÉ / SALOMÉ,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/wilde-salom%C3%A9-salom%C3%A9-0
1,2018-05-02,TRAIN TO ZAKOPANÉ,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/train-to-zakopan%C3%A9-0
2,2018-05-03,IDIOCRACY / ALL THE PRESIDENT’S MEN,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/idiocracy-all-the-president%E2%80%99s-men
3,2018-05-03,Who’s Who in Mycology + MADEMOISELLE PARADIS,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/who%E2%80%99s-who-in-mycology-mademoiselle-paradis
4,2018-05-04,Converts + KINCSEM,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/converts-kincsem
5,2018-05-04,THE SEVENTH SEAL / THE MAGICIAN,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/the-seventh-seal-the-magician
6,2018-05-05,"The World Today - Common Challenges, EU and U.S. Responses",AERO Theater,6:00pm,http://www.americancinemathequecalendar.com//content/the-world-today-common-challenges-eu-and-us-responses
7,2018-05-05,PERSONA / FROM THE LIFE OF MARIONETTES,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/persona-from-the-life-of-marionettes
8,2018-05-05,Ghetto PSA + WELCOME TO GERMANY,AERO Theater,8:00pm,http://www.americancinemathequecalendar.com//content/ghetto-psa-welcome-to-germany
9,2018-05-06,MIRACLE,AERO Theater,5:00pm,http://www.americancinemathequecalendar.com//content/miracle-0
10,2018-05-06,WAITING WOMEN / ALL THESE WOMEN,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/waiting-women-all-these-women
11,2018-05-06,Helen’s Birthday + CHARLIE AND HANNAH’S GRAND NIGHT OUT,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/helen%E2%80%99s-birthday-charlie-and-hannah%E2%80%99s-grand-night-out
12,2018-05-07,Audition + QUIT STARING AT MY PLATE,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/audition-quit-staring-at-my-plate
13,2018-05-08,BEFORE THE DEVIL KNOWS YOU’RE DEAD / GATTACA,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/before-the-devil-knows-you%E2%80%99re-dead-gattaca
14,2018-05-08,Sur le Fil + BREAKING THE LIMITS,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/sur-le-fil-breaking-the-limits
15,2018-05-09,AFFLICTION / LIGHT SLEEPER,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/affliction-light-sleeper
16,2018-05-09,POROROCA,EGYPTIAN Theater,8:00pm,http://www.americancinemathequecalendar.com//content/pororoca-0
17,2018-05-10,THE PASSION OF ANNA / THIRST,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/the-passion-of-anna-thirst
18,2018-05-10,LET’S SCARE JESSICA TO DEATH,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/let%E2%80%99s-scare-jessica-to-death-0
19,2018-05-10,FIRST REFORMED,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/first-reformed-0
20,2018-05-11,HOUR OF THE WOLF / THE SERPENT’S EGG,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/hour-of-the-wolf-the-serpent%E2%80%99s-egg
21,2018-05-11,PSYCHO / PSYCHO II / PSYCHO III,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/psycho-psycho-ii-psycho-iii-0
