,date,movie,location,time,link
22,2018-05-12,Historic Egyptian Theatre Tour,EGYPTIAN Theater,10:30am,http://www.americancinemathequecalendar.com//content/historic-egyptian-theatre-tour-31
23,2018-05-12,"""Heaven Is a Traffic Jam on the 405""",AERO Theater,7:00pm,http://www.americancinemathequecalendar.com//content/heaven-is-a-traffic-jam-on-the-405
24,2018-05-12,THROUGH A GLASS DARKLY / WINTER LIGHT / THE SILENCE,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/through-a-glass-darkly-the-silence-winter-light
25,2018-05-13,THE SOUND OF MUSIC,EGYPTIAN Theater,3:00pm,http://www.americancinemathequecalendar.com//content/the-sound-of-music-8
26,2018-05-13,MARY POPPINS,AERO Theater,3:00pm,http://www.americancinemathequecalendar.com//content/mary-poppins-3
27,2018-05-13,GREY GARDENS / MOMMIE DEAREST,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/grey-gardens-mommie-dearest
28,2018-05-13,WONDER WOMAN,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/wonder-woman-1
29,2018-05-15,EL CONTRATISTA,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/el-contratista-0
30,2018-05-16,SMILES OF A SUMMER NIGHT / THE RITE,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/smiles-of-a-summer-night-the-rite
31,2018-05-16,THREE DAYS OF THE CONDOR,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/three-days-of-the-condor-0
32,2018-05-17,CRIES AND WHISPERS / SUMMER INTERLUDE,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/cries-and-whispers-summer-interlude
33,2018-05-17,VERTIGO,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/vertigo-17
34,2018-05-18,THE VIRGIN SPRING / THE DEVIL’S EYE,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/the-virgin-spring-the-devil%E2%80%99s-eye
35,2018-05-18,"THE GOOD, THE BAD AND THE UGLY",EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/the-good-the-bad-and-the-ugly-13
36,2018-05-19,WILD STRAWBERRIES / A LESSON IN LOVE,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/wild-strawberries-a-lesson-in-love
37,2018-05-19,THE ROOM,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/the-room-7
38,2018-05-20,THE CONFORMIST,EGYPTIAN Theater,5:30pm,http://www.americancinemathequecalendar.com//content/the-conformist-1
39,2018-05-20,THE MAGIC FLUTE / SUMMER WITH MONIKA,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/the-magic-flute-summer-with-monika
40,2018-05-24,LAWRENCE OF ARABIA,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/lawrence-of-arabia-35
41,2018-05-24,HOCUS POCUS / THE LORDS OF SALEM,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/hocus-pocus-the-lords-of-salem
42,2018-05-25,“La Jetee” / MULHOLLAND DR.,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/%E2%80%9Cla-jetee%E2%80%9D-mulholland-dr
43,2018-05-25,LAWRENCE OF ARABIA,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/lawrence-of-arabia-36
44,2018-05-26,Fashion & Film: The 1940s / THE POSTMAN ALWAYS RINGS TWICE,EGYPTIAN Theater,2:00pm,http://www.americancinemathequecalendar.com//content/fashion-film-the-1940s-the-postman-always-rings-twice
45,2018-05-26,#MeToo From the Silent Screen,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/metoo-from-the-silent-screen
46,2018-05-26,LAWRENCE OF ARABIA,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/lawrence-of-arabia-37
47,2018-05-26,SAVING PRIVATE RYAN,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/saving-private-ryan-1
48,2018-05-27,LAWRENCE OF ARABIA,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/lawrence-of-arabia-38
49,2018-05-27,"THE TEXAS CHAIN SAW MASSACRE / THE TEXAS CHAINSAW MASSACRE, PART TWO / LEATHERFACE: TEXAS CHAINSAW MASSACRE III",EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/the-texas-chain-saw-massacre-the-texas-chainsaw-massacre-part-two-leatherface-texas-chainsaw
50,2018-05-31,THE EMPEROR’S NIGHTINGALE,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/the-emperor%E2%80%99s-nightingale-0
51,2018-06-01,BAYAYA / OLD CZECH LEGENDS,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/bayaya-old-czech-legends
52,2018-06-02,A MIDSUMMER NIGHT’S DREAM,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/a-midsummer-night%E2%80%99s-dream-0
53,2018-06-03,Jiří Trnka Shorts: Mature Mastery,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/ji%C5%99%C3%AD-trnka-shorts-mature-mastery
54,2018-06-13,2001: A SPACE ODYSSEY,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/2001-a-space-odyssey-30
55,2018-06-14,2001: A SPACE ODYSSEY,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/2001-a-space-odyssey-31
56,2018-06-15,2001: A SPACE ODYSSEY,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/2001-a-space-odyssey-32
57,2018-06-16,ETHERIA FILM NIGHT 2018,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/etheria-film-night-2018
58,2018-06-16,THE CAMERAMAN,EGYPTIAN Theater,7:30pm,http://www.americancinemathequecalendar.com//content/the-cameraman-0
59,2018-06-16,2001: A SPACE ODYSSEY,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/2001-a-space-odyssey-33
60,2018-06-17,2001: A SPACE ODYSSEY,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/2001-a-space-odyssey-34
61,2018-06-18,2001: A SPACE ODYSSEY,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/2001-a-space-odyssey-35
62,2018-06-19,2001: A SPACE ODYSSEY,AERO Theater,7:30pm,http://www.americancinemathequecalendar.com//content/2001-a-space-odyssey-36
